Title,Date,Description,Note IMDb,VoteCount
S1.E1 ∙ The One Where Monica Gets a Roommate,"mar., 16 avr. 1996","Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.","8,1/10",(11 k)
S1.E2 ∙ The One with the Sonogram at the End,"jeu., 29 sept. 1994",Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,"7,8/10","(8,6 k)"
S1.E3 ∙ The One with the Thumb,"jeu., 6 oct. 1994",Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,"8,0/10","(8,1 k)"
S1.E4 ∙ The One with George Stephanopoulos,"jeu., 13 oct. 1994","Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.","7,9/10","(7,9 k)"
S1.E5 ∙ The One with the East German Laundry Detergent,"jeu., 20 oct. 1994","Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.","8,3/10","(7,9 k)"
S1.E6 ∙ The One with the Butt,"jeu., 27 oct. 1994",Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,"8,0/10","(7,5 k)"
S1.E7 ∙ The One with the Blackout,"jeu., 3 nov. 1994","When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.","8,8/10","(9,3 k)"
S1.E8 ∙ The One Where Nana Dies Twice,"jeu., 10 nov. 1994",Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,"7,9/10","(7,3 k)"
S1.E9 ∙ The One Where Underdog Gets Away,"jeu., 17 nov. 1994",The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,"8,1/10","(7,1 k)"
S1.E10 ∙ The One with the Monkey,"jeu., 15 déc. 1994",The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,"7,9/10","(7,1 k)"
S1.E11 ∙ The One with Mrs. Bing,"jeu., 5 janv. 1995","Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.","8,0/10",(7 k)
S1.E12 ∙ The One with the Dozen Lasagnas,"jeu., 12 janv. 1995",Rachel and Paolo's relationship hits a snag when he makes a pass at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,"8,0/10","(6,9 k)"
S1.E13 ∙ The One with the Boobies,"jeu., 19 janv. 1995",Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,"8,5/10","(7,3 k)"
S1.E14 ∙ The One with the Candy Hearts,"jeu., 9 févr. 1995","As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.","8,1/10","(6,8 k)"
S1.E15 ∙ The One with the Stoned Guy,"jeu., 16 févr. 1995","Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.","8,1/10","(6,8 k)"
S1.E16 ∙ The One with Two Parts: Part 1,"jeu., 23 févr. 1995",Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,"8,0/10","(6,7 k)"
S1.E17 ∙ The One with Two Parts: Part 2,"jeu., 23 févr. 1995","Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.","8,3/10","(6,8 k)"
S1.E18 ∙ The One with All the Poker,"jeu., 2 mars 1995","As Rachel interviews for a new job, the girls take on the guys in a game of poker.","8,7/10","(7,5 k)"
S1.E19 ∙ The One Where the Monkey Gets Away,"jeu., 9 mars 1995",The gang frantically search for Ross's monkey Marcel after Rachel loses him.,"7,9/10","(6,5 k)"
S1.E20 ∙ The One with the Evil Orthodontist,"jeu., 6 avr. 1995","Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.","7,7/10","(6,5 k)"
S1.E21 ∙ The One with the Fake Monica,"jeu., 27 avr. 1995",Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,"7,6/10","(6,6 k)"
S1.E22 ∙ The One with the Ick Factor,"jeu., 4 mai 1995",Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,"8,1/10","(6,5 k)"
S1.E23 ∙ The One with the Birth,"mer., 8 oct. 1997","As Carol goes into labor, Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.","8,6/10","(6,9 k)"
S1.E24 ∙ The One Where Rachel Finds Out,"jeu., 18 mai 1995","As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.","8,7/10","(7,3 k)"
