Episode,Titre,Date,Note IMDb,Description
Épisode 1,S2.E1 ∙ The One with Ross's New Girlfriend,"jeu., 21 sept. 1995","8,4/10","Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut."
Épisode 2,S2.E2 ∙ The One with the Breast Milk,"jeu., 28 sept. 1995","8,0/10","Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer."
Épisode 3,S2.E3 ∙ The One Where Heckles Dies,"jeu., 5 oct. 1995","8,2/10","Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution."
Épisode 4,S2.E4 ∙ The One with Phoebe's Husband,"jeu., 12 oct. 1995","7,8/10","When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie."
Épisode 5,S2.E5 ∙ The One with Five Steaks and an Eggplant,"jeu., 19 oct. 1995","8,1/10","The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage."
Épisode 6,S2.E6 ∙ The One with the Baby on the Bus,"jeu., 2 nov. 1995","8,4/10","Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer."
Épisode 7,S2.E7 ∙ The One Where Ross Finds Out,"jeu., 9 nov. 1995","8,9/10","A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her."
Épisode 8,S2.E8 ∙ The One with the List,"jeu., 16 nov. 1995","8,3/10","With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute."
Épisode 9,S2.E9 ∙ The One with Phoebe's Dad,"jeu., 14 déc. 1995","7,8/10","Phoebe tracks down her father, but isn't sure whether she should meet him."
Épisode 10,S2.E10 ∙ The One with Russ,"jeu., 4 janv. 1996","7,8/10",Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.
Épisode 11,S2.E11 ∙ The One with the Lesbian Wedding,"jeu., 18 janv. 1996","7,9/10",Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.
Épisode 12,S2.E12 ∙ The One After the Superbowl: Part 1,"dim., 28 janv. 1996","8,5/10",Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.
Épisode 13,S2.E13 ∙ The One After the Superbowl: Part 2,"dim., 28 janv. 1996","8,6/10","Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme."
Épisode 14,S2.E14 ∙ The One with the Prom Video,"jeu., 1 févr. 1996","9,3/10",Monica struggles to tell her parents she is unemployed. Joey gives Chandler a hideous bracelet. The gang watch a video from Monica and Rachel's prom.
