Title,Date,Description,Note IMDb,VoteCount
S2.E1 ∙ The One with Ross's New Girlfriend,"jeu., 21 sept. 1995","Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.","8,4/10","(6,7 k)"
S2.E2 ∙ The One with the Breast Milk,"jeu., 28 sept. 1995","Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.","8,0/10","(6,4 k)"
S2.E3 ∙ The One Where Heckles Dies,"jeu., 5 oct. 1995","Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution.","8,2/10","(6,4 k)"
S2.E4 ∙ The One with Phoebe's Husband,"jeu., 12 oct. 1995","When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.","7,8/10","(6,2 k)"
S2.E5 ∙ The One with Five Steaks and an Eggplant,"jeu., 19 oct. 1995","The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage.","8,1/10","(6,2 k)"
S2.E6 ∙ The One with the Baby on the Bus,"jeu., 2 nov. 1995","Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.","8,4/10","(6,7 k)"
S2.E7 ∙ The One Where Ross Finds Out,"jeu., 9 nov. 1995","A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.","8,9/10","(7,6 k)"
S2.E8 ∙ The One with the List,"jeu., 16 nov. 1995","With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.","8,3/10","(6,3 k)"
S2.E9 ∙ The One with Phoebe's Dad,"jeu., 14 déc. 1995","Phoebe tracks down her father, but isn't sure whether she should meet him.","7,8/10",(6 k)
S2.E10 ∙ The One with Russ,"jeu., 4 janv. 1996",Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,"7,8/10","(6,3 k)"
S2.E11 ∙ The One with the Lesbian Wedding,"jeu., 18 janv. 1996",Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,"7,9/10","(6,2 k)"
S2.E12 ∙ The One After the Superbowl: Part 1,"dim., 28 janv. 1996",Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,"8,5/10","(6,5 k)"
S2.E13 ∙ The One After the Superbowl: Part 2,"dim., 28 janv. 1996","Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.","8,6/10","(6,7 k)"
S2.E14 ∙ The One with the Prom Video,"jeu., 1 févr. 1996",Monica struggles to tell her parents she is unemployed. Joey gives Chandler a hideous bracelet. The gang watch a video from Monica and Rachel's prom.,"9,3/10","(9,5 k)"
S2.E15 ∙ The One Where Ross and Rachel... You Know,"jeu., 8 févr. 1996",Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,"8,7/10","(6,7 k)"
S2.E16 ∙ The One Where Joey Moves Out,"jeu., 15 févr. 1996",Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,"8,5/10",(6 k)
S2.E17 ∙ The One Where Eddie Moves In,"jeu., 22 févr. 1996","Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.","8,1/10","(5,9 k)"
S2.E18 ∙ The One Where Dr. Ramoray Dies,"jeu., 21 mars 1996","Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.","8,3/10","(5,9 k)"
S2.E19 ∙ The One Where Eddie Won't Go,"jeu., 28 mars 1996","Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.","8,3/10","(6,1 k)"
S2.E20 ∙ The One Where Old Yeller Dies,"jeu., 4 avr. 1996",Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,"8,0/10","(5,8 k)"
S2.E21 ∙ The One with the Bullies,"jeu., 25 avr. 1996",Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,"7,9/10","(5,8 k)"
S2.E22 ∙ The One with the Two Parties,"jeu., 2 mai 1996","Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.","8,9/10","(7,2 k)"
S2.E23 ∙ The One with the Chicken Pox,"jeu., 9 mai 1996",Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,"7,9/10","(5,8 k)"
S2.E24 ∙ The One with Barry and Mindy's Wedding,"jeu., 16 mai 1996",Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,"8,1/10","(5,9 k)"
