Title,Date,Description,Note IMDb,VoteCount
S10.E1 ∙ The One After Joey and Rachel Kiss,"jeu., 25 sept. 2003",Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,"8,4/10","(5,4 k)"
S10.E2 ∙ The One Where Ross Is Fine,"jeu., 2 oct. 2003",Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,"8,7/10","(5,8 k)"
S10.E3 ∙ The One with Ross's Tan,"jeu., 9 oct. 2003",Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,"8,6/10","(5,6 k)"
S10.E4 ∙ The One with the Cake,"jeu., 23 oct. 2003","On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.","8,2/10","(4,9 k)"
S10.E5 ∙ The One Where Rachel's Sister Babysits,"jeu., 30 oct. 2003",Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,"8,0/10","(4,9 k)"
S10.E6 ∙ The One with Ross' Grant,"jeu., 6 nov. 2003",Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,"8,0/10","(4,9 k)"
S10.E7 ∙ The One with the Home Study,"jeu., 13 nov. 2003",Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,"8,1/10","(4,7 k)"
S10.E8 ∙ The One with the Late Thanksgiving,"jeu., 20 nov. 2003","Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.","8,8/10","(5,7 k)"
S10.E9 ∙ The One with the Birth Mother,"jeu., 8 janv. 2004","Nervous and excited, Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child when it's born.","8,4/10",(5 k)
S10.E10 ∙ The One Where Chandler Gets Caught,"jeu., 15 janv. 2004",Monica & Chandler look at real estate outside the city which leads to the rest of the gang reminiscing on all their memories of the apartment.,"7,8/10","(4,8 k)"
S10.E11 ∙ The One Where the Stripper Cries,"jeu., 5 févr. 2004",Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,"8,9/10","(6,2 k)"
S10.E12 ∙ The One with Phoebe's Wedding,"jeu., 12 févr. 2004",Chaos ensues as Phoebe and Mike prepare to get married.,"8,8/10","(5,5 k)"
S10.E13 ∙ The One Where Joey Speaks French,"jeu., 19 févr. 2004",Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,"8,3/10","(5,2 k)"
S10.E14 ∙ The One with Princess Consuela,"jeu., 26 févr. 2004",Phoebe ponders whether or not to changer her name. Monica & Chandler take Joey to visit the new house. Ross & Rachel set their eyes on their career profession.,"8,4/10","(5,1 k)"
S10.E15 ∙ The One Where Estelle Dies,"jeu., 22 avr. 2004","Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.","8,4/10","(4,8 k)"
S10.E16 ∙ The One with Rachel's Going Away Party,"jeu., 29 avr. 2004","The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.","8,8/10","(5,5 k)"
S10.E17 ∙ The Last One: Part 1,"jeu., 6 mai 2004","Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.","9,6/10",(17 k)
S10.E18 ∙ The Last One: Part 2,"jeu., 6 mai 2004",The six friends prepare to say goodbye and embark on the next chapters of their lives; momentous events and last-minute surprises.,"9,5/10",(806)
