Title,Date,Description,Note IMDb,VoteCount
S5.E1 ∙ The One After Ross Says Rachel,"jeu., 24 sept. 1998","A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.","8,8/10","(6,2 k)"
S5.E2 ∙ The One with All the Kissing,"jeu., 1 oct. 1998",Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,"8,9/10","(6,3 k)"
S5.E3 ∙ The One Hundredth,"mer., 24 mars 1999","The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.","8,7/10","(5,8 k)"
S5.E4 ∙ The One Where Phoebe Hates PBS,"dim., 18 oct. 1998",Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,"8,1/10","(5,2 k)"
S5.E5 ∙ The One with the Kips,"jeu., 29 oct. 1998",Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,"8,6/10","(5,6 k)"
S5.E6 ∙ The One with the Yeti,"jeu., 5 nov. 1998",The gang become frustrated with Emily's demands. Monica and Rachel mistake their new neighbour for a yeti. Phoebe inherits a fur coat.,"7,8/10","(5,2 k)"
S5.E7 ∙ The One Where Ross Moves In,"jeu., 12 nov. 1998",Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,"8,1/10","(5,3 k)"
S5.E8 ∙ The One with All the Thanksgivings,"jeu., 19 nov. 1998",The gang remember and share with each other their worst Thanksgivings.,"9,0/10","(7,2 k)"
S5.E9 ∙ The One with Ross's Sandwich,"jeu., 10 déc. 1998",Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,"9,0/10","(6,7 k)"
S5.E10 ∙ The One with the Inappropriate Sister,"jeu., 17 déc. 1998",A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,"8,0/10","(5,2 k)"
S5.E11 ∙ The One with All the Resolutions,"jeu., 7 janv. 1999",The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Joey learns how to learn to play the guitar and Rachel decides not to gossip. Ross runs into trouble when he wears leather pants on a date.,"9,0/10","(6,6 k)"
S5.E12 ∙ The One with Chandler's Work Laugh,"jeu., 21 janv. 1999",Monica becomes annoyed at how Chandler sucks up to his boss. Rachel tries to confront Monica about her relationship with Chandler. Ross hooks up with Janice when he finds out Emily is getting married.,"8,1/10","(5,2 k)"
S5.E13 ∙ The One with Joey's Bag,"jeu., 4 févr. 1999","Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.","7,9/10","(5,2 k)"
S5.E14 ∙ The One Where Everybody Finds Out,"jeu., 11 févr. 1999","When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.","9,7/10",(14 k)
S5.E15 ∙ The One with the Girl Who Hits Joey,"jeu., 18 févr. 1999",Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,"8,3/10","(5,4 k)"
S5.E16 ∙ The One with the Cop,"jeu., 25 févr. 1999","Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.","8,5/10","(5,7 k)"
S5.E17 ∙ The One with Rachel's Inadvertent Kiss,"jeu., 18 mars 1999",Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,"8,3/10","(5,2 k)"
S5.E18 ∙ The One Where Rachel Smokes,"jeu., 8 avr. 1999","Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.","7,8/10","(5,1 k)"
S5.E19 ∙ The One Where Ross Can't Flirt,"jeu., 22 avr. 1999","As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.","8,6/10","(5,6 k)"
S5.E20 ∙ The One with the Ride Along,"jeu., 29 avr. 1999",The guys go on a ride-along with Gary where Ross thinks Joey saved his life which angers Chandler because he thinks Joey chose Ross over him. Rachel accidentally deletes a message from Emily on Ross's answering machine.,"8,1/10","(5,1 k)"
S5.E21 ∙ The One with the Ball,"jeu., 6 mai 1999","Gary asks Phoebe to move in with him but she's reluctant. To overcome boredom, Ross and Joey start endlessly throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.","8,3/10","(5,3 k)"
S5.E22 ∙ The One with Joey's Big Break,"mar., 11 mai 1999","Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.","8,1/10",(5 k)
S5.E23 ∙ The One in Vegas: Part 1,"mer., 3 nov. 1999",The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,"8,6/10","(5,7 k)"
S5.E24 ∙ The One in Vegas: Part 2,"mer., 10 nov. 1999",Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,"9,0/10","(6,4 k)"
