Title,Date,Description,Note IMDb,VoteCount
S9.E1 ∙ The One Where No One Proposes,"jeu., 26 sept. 2002","Rachel, Ross and Joey get together and figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex.","8,5/10","(5,1 k)"
S9.E2 ∙ The One Where Emma Cries,"jeu., 3 oct. 2002","Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.","8,4/10","(5,1 k)"
S9.E3 ∙ The One with the Pediatrician,"jeu., 10 oct. 2002","Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.","8,1/10","(4,7 k)"
S9.E4 ∙ The One with the Sharks,"jeu., 17 oct. 2002",Monica thinks that Chandler is sexually attracted to sea life after he switches the station from porn to a shark documentary to conceal his sordid viewing.,"8,0/10","(4,8 k)"
S9.E5 ∙ The One with Phoebe's Birthday Dinner,"jeu., 31 oct. 2002","Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.","8,3/10","(4,9 k)"
S9.E6 ∙ The One with the Male Nanny,"jeu., 7 nov. 2002","Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.","8,2/10","(5,1 k)"
S9.E7 ∙ The One with Ross's Inappropriate Song,"jeu., 14 nov. 2002","Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.","8,5/10","(5,1 k)"
S9.E8 ∙ The One with Rachel's Other Sister,"jeu., 21 nov. 2002",Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,"8,7/10","(5,7 k)"
S9.E9 ∙ The One with Rachel's Phone Number,"jeu., 5 déc. 2002","Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.","8,0/10","(4,7 k)"
S9.E10 ∙ The One with Christmas in Tulsa,"jeu., 12 déc. 2002","Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.","7,2/10","(4,8 k)"
S9.E11 ∙ The One Where Rachel Goes Back to Work,"jeu., 9 janv. 2003","Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.","7,8/10","(4,6 k)"
S9.E12 ∙ The One with Phoebe's Rats,"jeu., 16 janv. 2003",Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,"7,7/10","(4,7 k)"
S9.E13 ∙ The One Where Monica Sings,"jeu., 30 janv. 2003",A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,"7,9/10","(4,7 k)"
S9.E14 ∙ The One with the Blind Dates,"jeu., 6 févr. 2003",Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,"8,0/10","(4,6 k)"
S9.E15 ∙ The One with the Mugging,"jeu., 13 févr. 2003","Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as an advertising writer.","8,1/10","(4,6 k)"
S9.E16 ∙ The One with the Boob Job,"jeu., 20 févr. 2003","When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job.","8,0/10","(4,5 k)"
S9.E17 ∙ The One with the Memorial Service,"jeu., 13 mars 2003","When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college.","8,3/10","(4,7 k)"
S9.E18 ∙ The One with the Lottery,"jeu., 3 avr. 2003","Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.","8,5/10","(4,9 k)"
S9.E19 ∙ The One with Rachel's Dream,"jeu., 17 avr. 2003","Nervous about his upcoming romantic scenes, Joey rehearses them with Rachel. Ross & Chandler get their money's worth on their weekend trip to Vermont while Phoebe takes advantage of Monica's clientele.","7,9/10","(4,6 k)"
S9.E20 ∙ The One with the Soap Opera Party,"jeu., 24 avr. 2003",Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,"8,1/10","(4,6 k)"
S9.E21 ∙ The One with the Fertility Test,"jeu., 1 mai 2003",Joey comes to Ross for advice on dating Charlie. Chandler and Monica bump into Janice at a fertility clinic. Rachel has a gift certificate for a massage which Phoebe doesn't want her to use.,"8,1/10","(4,5 k)"
S9.E22 ∙ The One with the Donor,"jeu., 8 mai 2003",Rachel take Joey's girlfriend Charlie and Phoebe shopping. Ross presents his theory to get a chance to go a conference in Barbados. Monica and Chandler consider alternate pregnancy options.,"7,6/10","(4,6 k)"
S9.E23 ∙ The One in Barbados,"jeu., 15 mai 2003",The gang heads down to Barbados for the palaeontology conference.,"8,5/10","(5,3 k)"
