Episode,Titre,Date,Note IMDb,Description
Épisode 1,S8.E1 ∙ The One After I Do,"jeu., 27 sept. 2001","8,6/10",The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.
Épisode 2,S8.E2 ∙ The One with the Red Sweater,"jeu., 4 avr. 2002","9,0/10","Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos."
Épisode 3,S8.E3 ∙ The One Where Rachel Tells...,"jeu., 11 oct. 2001","8,6/10","Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class."
Épisode 4,S8.E4 ∙ The One with the Videotape,"jeu., 18 oct. 2001","9,2/10","Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it."
Épisode 5,S8.E5 ∙ The One with Rachel's Date,"jeu., 25 oct. 2001","7,9/10","Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him."
Épisode 6,S8.E6 ∙ The One with the Halloween Party,"jeu., 1 nov. 2001","8,4/10","Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the real Ursula."
Épisode 7,S8.E7 ∙ The One with the Stain,"jeu., 8 nov. 2001","7,7/10","Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe. Joey, Rachel and Ross try to change their living arrangements."
Épisode 8,S8.E8 ∙ The One with the Stripper,"jeu., 15 nov. 2001","8,6/10","Chandler finds out that Monica had a bachelorette party, even though they promised not to have parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid he will be angry when she tells him she's pregnant."
Épisode 9,S8.E9 ∙ The One with the Rumor,"jeu., 22 nov. 2001","9,2/10","Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel."
Épisode 10,S8.E10 ∙ The One with Monica's Boots,"jeu., 6 déc. 2001","7,9/10",Monica's expensive new boots hurt her feet but she's determined to show Chandler her purchase was worth it; Ben goes to school with Sting's son. Joey's sister becomes pregnant which causes Joey to intervene and she asks Rachel for advice.
Épisode 11,S8.E11 ∙ The One with Ross's Step Forward,"jeu., 13 déc. 2001","7,8/10",Ross' new girlfriend Mona orders Christmas cards with a photo of them on the cover. Rachel's pregnancy hormones are affecting her psychologically. Chandler's boss causes him to see what his life would be like without Monica.
Épisode 12,S8.E12 ∙ The One Where Joey Dates Rachel,"jeu., 10 janv. 2002","8,4/10",Joey takes Rachel to dinner on a pretend date to practice his dating skills but soon develops romantic feelings for her; gang addicted to Ms. Pac-Man. Ross is assigned to teach a new class but the travel time becomes too difficult for him.
Épisode 13,S8.E13 ∙ The One Where Chandler Takes a Bath,"jeu., 17 janv. 2002","8,4/10",Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex. Joey struggles with his feelings for Rachel.
Épisode 14,S8.E14 ∙ The One with the Secret Closet,"jeu., 31 janv. 2002","8,0/10","Chandler's very curious about a locked closet, but Monica won't tell him what is inside. Monica moans when Phoebe massages her which makes Phoebe uncomfortable. Ross is upset when he can't be more involved with Rachel's pregnancy issues."
Épisode 15,S8.E15 ∙ The One with the Birthing Video,"jeu., 7 févr. 2002","8,2/10","During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living with him. Phoebe tries to help with Joey's depression caused by his feelings for Rachel."
Épisode 16,S8.E16 ∙ The One Where Joey Tells Rachel,"jeu., 28 févr. 2002","8,1/10",Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together.
Épisode 17,S8.E17 ∙ The One with the Tea Leaves,"jeu., 7 mars 2002","7,9/10","Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice."
Épisode 18,S8.E18 ∙ The One in Massapequa,"jeu., 28 mars 2002","8,0/10",Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.
Épisode 19,S8.E19 ∙ The One with Joey's Interview,"jeu., 4 avr. 2002","7,2/10","Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life."
Épisode 20,S8.E20 ∙ The One with the Baby Shower,"jeu., 25 avr. 2002","8,1/10",Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby. Joey auditions for a job as a host for a new game show. Chandler and Ross help him practice.
Épisode 21,S8.E21 ∙ The One with the Cooking Class,"jeu., 2 mai 2002","8,0/10","Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store."
Épisode 22,S8.E22 ∙ The One Where Rachel Is Late,"jeu., 9 mai 2002","8,2/10",Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.
Épisode 23,S8.E23 ∙ The One Where Rachel Has a Baby: Part 1,"jeu., 16 mai 2002","8,7/10","Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband."
Épisode 24,S8.E24 ∙ The One Where Rachel Has a Baby: Part 2,"jeu., 16 mai 2002","8,8/10","After Rachel gives birth to her baby, she must confront relationship issues around her."
