Episode,Titre,Date,Note IMDb,Description
Épisode 1,S1.E1 ∙ The One Where Monica Gets a Roommate,"Tue, Apr 16, 1996",8.1/10,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar."
Épisode 2,S1.E2 ∙ The One with the Sonogram at the End,"Thu, Sep 29, 1994",7.8/10,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.
Épisode 3,S1.E3 ∙ The One with the Thumb,"Thu, Oct 6, 1994",8.0/10,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.
Épisode 4,S1.E4 ∙ The One with George Stephanopoulos,"Thu, Oct 13, 1994",7.9/10,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'."
Épisode 5,S1.E5 ∙ The One with the East German Laundry Detergent,"Thu, Oct 20, 1994",8.3/10,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend."
Épisode 6,S1.E6 ∙ The One with the Butt,"Thu, Oct 27, 1994",8.0/10,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.
Épisode 7,S1.E7 ∙ The One with the Blackout,"Thu, Nov 3, 1994",8.8/10,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model."
Épisode 8,S1.E8 ∙ The One Where Nana Dies Twice,"Thu, Nov 10, 1994",7.9/10,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.
Épisode 9,S1.E9 ∙ The One Where Underdog Gets Away,"Thu, Nov 17, 1994",8.1/10,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.
Épisode 10,S1.E10 ∙ The One with the Monkey,"Thu, Dec 15, 1994",7.9/10,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.
Épisode 11,S1.E11 ∙ The One with Mrs. Bing,"Thu, Jan 5, 1995",8.0/10,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma."
Épisode 12,S1.E12 ∙ The One with the Dozen Lasagnas,"Thu, Jan 12, 1995",8.0/10,Rachel and Paolo's relationship hits a snag when he makes a pass at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.
Épisode 13,S1.E13 ∙ The One with the Boobies,"Thu, Jan 19, 1995",8.5/10,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.
Épisode 14,S1.E14 ∙ The One with the Candy Hearts,"Thu, Feb 9, 1995",8.1/10,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends."
Épisode 15,S1.E15 ∙ The One with the Stoned Guy,"Thu, Feb 16, 1995",8.1/10,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'."
Épisode 16,S1.E16 ∙ The One with Two Parts: Part 1,"Thu, Feb 23, 1995",8.0/10,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.
Épisode 17,S1.E17 ∙ The One with Two Parts: Part 2,"Thu, Feb 23, 1995",8.3/10,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey."
Épisode 18,S1.E18 ∙ The One with All the Poker,"Thu, Mar 2, 1995",8.7/10,"As Rachel interviews for a new job, the girls take on the guys in a game of poker."
Épisode 19,S1.E19 ∙ The One Where the Monkey Gets Away,"Thu, Mar 9, 1995",7.9/10,The gang frantically search for Ross's monkey Marcel after Rachel loses him.
Épisode 20,S1.E20 ∙ The One with the Evil Orthodontist,"Thu, Apr 6, 1995",7.7/10,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls."
Épisode 21,S1.E21 ∙ The One with the Fake Monica,"Thu, Apr 27, 1995",7.6/10,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.
Épisode 22,S1.E22 ∙ The One with the Ick Factor,"Thu, May 4, 1995",8.1/10,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.
Épisode 23,S1.E23 ∙ The One with the Birth,"Wed, Oct 8, 1997",8.6/10,"As Carol goes into labor, Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother."
Épisode 24,S1.E24 ∙ The One Where Rachel Finds Out,"Thu, May 18, 1995",8.7/10,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend."
